yas,gelir,kredi_skoru,borc_miktari,kredi_onayi
35,4858,679,47204,Hayır
45,19751,687,18325,Hayır
68,14455,597,34628,Hayır
44,7144,398,5280,Hayır
49,19086,666,34762,Hayır
64,12115,429,21395,Hayır
26,19934,697,31210,Hayır
57,19717,582,28190,Hayır
49,5365,376,24648,Hayır
37,10855,632,32690,Hayır
45,4084,840,38980,Hayır
50,6973,515,28753,Hayır
21,14659,752,41179,Hayır
63,15023,775,8274,Hayır
51,15933,365,42961,Hayır
65,5426,768,13450,Hayır
20,18863,757,37508,Hayır
43,18010,724,23267,Hayır
25,19734,709,45055,Hayır
23,14204,753,47563,Hayır
33,4647,811,45396,Hayır
41,7108,658,11204,Hayır
65,3721,741,45757,Hayır
56,5159,754,39392,Hayır
47,18717,381,27369,Hayır
62,10855,330,20554,Hayır
30,3223,698,44009,Hayır
22,5454,833,4228,Hayır
42,13691,571,30936,Hayır
37,15646,460,4030,Hayır
35,11132,596,39370,Hayır
64,4633,687,29781,Hayır
35,3016,647,1413,Hayır
19,14792,502,4096,Hayır
27,6533,724,37293,Hayır
62,13913,414,43276,Hayır
67,2005,835,44178,Hayır
64,12458,367,5205,Hayır
29,5987,482,11548,Hayır
64,10704,559,41053,Hayır
30,13452,358,17154,Hayır
67,2974,413,23558,Hayır
64,15558,564,22876,Hayır
28,13008,432,48517,Hayır
36,11168,810,24125,Hayır
52,2620,678,39177,Hayır
56,14842,352,30599,Hayır
43,9595,423,23621,Hayır
63,14837,360,14482,Hayır
31,14033,688,15553,Hayır
62,10785,757,4466,Hayır
61,11611,684,38064,Hayır
41,7852,718,39341,Hayır
58,12134,749,5589,Hayır
18,10814,460,13990,Hayır
68,14040,634,19363,Hayır
60,6529,620,47999,Hayır
39,5919,671,28979,Hayır
40,10509,820,1081,Evet
36,3524,718,5246,Hayır
35,17708,616,5020,Evet
29,9226,627,11272,Hayır
45,18317,834,38742,Hayır
45,19276,745,49177,Hayır
50,10819,794,7870,Hayır
36,14445,727,33947,Hayır
45,5021,486,40500,Hayır
69,19838,618,31815,Hayır
66,2552,566,30794,Hayır
54,16182,495,43381,Hayır
43,13782,636,10910,Hayır
52,15149,819,31864,Hayır
51,17155,798,21196,Hayır
52,12277,389,31018,Hayır
57,2675,808,41615,Hayır
33,9760,476,48617,Hayır
55,16676,819,46496,Hayır
30,11785,414,41714,Hayır
40,13970,333,29940,Hayır
39,5264,843,24034,Hayır
33,6993,399,22771,Hayır
45,10807,381,12682,Hayır
65,6227,682,49862,Hayır
52,11136,807,31517,Hayır
62,6980,548,44881,Hayır
63,15576,618,11365,Hayır
25,15594,366,17426,Hayır
61,7666,457,34841,Hayır
39,9371,708,49898,Hayır
38,4396,460,6600,Hayır
43,14098,827,45845,Hayır
57,4090,558,7969,Hayır
38,6173,794,9057,Hayır
42,11251,569,31186,Hayır
58,8959,534,34357,Hayır
18,15485,536,17914,Hayır
23,10838,496,7102,Hayır
40,11545,672,10755,Hayır
68,15366,328,16770,Hayır
40,10955,448,41177,Hayır
60,4326,707,12719,Hayır
60,18842,540,21973,Hayır
40,4572,583,1541,Hayır
49,18075,484,21992,Hayır
47,15766,678,33695,Hayır
30,7940,764,46245,Hayır
60,17934,545,16516,Hayır
35,6169,405,29521,Hayır
40,15766,321,40178,Hayır
32,11010,573,48563,Hayır
50,8073,612,45858,Hayır
38,8808,797,15467,Hayır
56,9608,844,41062,Hayır
40,15408,424,12371,Hayır
44,13366,628,46735,Hayır
62,17740,317,49165,Hayır
61,16782,419,15846,Hayır
35,7126,697,36454,Hayır
41,18827,651,43863,Hayır
68,5704,594,5895,Hayır
64,11709,463,36394,Hayır
57,19940,614,47849,Hayır
68,13053,716,26738,Hayır
59,19428,763,40738,Hayır
24,15543,606,28613,Hayır
67,10659,389,5441,Hayır
65,10545,400,13888,Hayır
37,18455,569,9329,Hayır
44,11567,652,47004,Hayır
23,3075,795,39419,Hayır
44,11437,401,37767,Hayır
26,11215,688,22635,Hayır
62,12012,542,417,Hayır
48,15004,666,46391,Hayır
38,6462,647,48715,Hayır
43,5721,332,34841,Hayır
57,5107,380,48431,Hayır
65,19132,384,4413,Hayır
62,6715,462,20625,Hayır
30,17955,819,3378,Evet
66,10446,670,26872,Hayır
40,13169,791,37862,Hayır
37,19219,743,41066,Hayır
54,3850,778,35813,Hayır
45,5649,419,42855,Hayır
34,4306,304,48502,Hayır
45,14540,515,26495,Hayır
58,2493,545,11784,Hayır
19,8933,364,6950,Hayır
42,14623,382,41897,Hayır
67,12292,685,46687,Hayır
58,14207,612,48547,Hayır
23,6040,477,21563,Hayır
28,3776,329,36978,Hayır
55,3867,677,15255,Hayır
23,4734,359,42328,Hayır
62,5331,695,42585,Hayır
28,18593,305,30204,Hayır
31,13305,304,31641,Hayır
19,7108,465,4642,Hayır
57,15664,738,36717,Hayır
20,15181,363,8875,Hayır
52,10122,433,535,Hayır
50,14261,313,33720,Hayır
41,6770,477,27816,Hayır
36,6200,572,17963,Hayır
35,11339,847,35813,Hayır
66,13973,373,25330,Hayır
69,16341,646,36741,Hayır
41,14070,735,41127,Hayır
62,4700,496,21094,Hayır
52,17277,508,30545,Hayır
18,13167,330,30051,Hayır
53,12563,484,25612,Hayır
42,7184,770,43187,Hayır
62,6296,407,4853,Hayır
66,17366,730,14457,Hayır
60,11679,577,34938,Hayır
51,11159,585,18197,Hayır
42,5012,715,33020,Hayır
33,6409,465,3462,Hayır
51,4843,429,39892,Hayır
46,19266,522,45530,Hayır
36,18881,711,35071,Hayır
40,15845,814,41777,Hayır
36,13620,742,47135,Hayır
42,3905,447,4877,Hayır
33,17372,398,18352,Hayır
68,16741,745,33281,Hayır
26,3540,746,48806,Hayır
18,19716,830,29719,Hayır
59,11764,758,18444,Hayır
36,16366,369,49546,Hayır
50,9229,794,16616,Hayır
51,7340,745,28946,Hayır
33,9526,377,13661,Hayır
61,5454,313,8451,Hayır
57,5816,492,29298,Hayır
35,7637,737,42676,Hayır
51,15928,680,14363,Hayır
42,3360,487,37834,Hayır
62,7974,330,30505,Hayır
23,18947,501,29232,Hayır
38,8301,524,19779,Hayır
23,15497,319,9999,Hayır
49,19117,764,9753,Hayır
58,14435,477,5240,Hayır
65,16213,500,25502,Hayır
60,8714,634,43638,Hayır
56,5986,479,6838,Hayır
48,12907,601,39302,Hayır
59,3785,377,29327,Hayır
27,18268,756,32621,Hayır
47,16845,716,8367,Hayır
69,9080,356,49465,Hayır
35,9814,594,4851,Hayır
41,16033,652,3440,Evet
69,11997,668,5594,Hayır
26,13555,637,7934,Hayır
48,18295,741,23717,Hayır
32,19632,631,22639,Hayır
21,10407,772,33036,Hayır
57,5945,326,34645,Hayır
26,3725,544,25124,Hayır
62,11392,491,15551,Hayır
26,17037,504,33686,Hayır
43,19924,705,18514,Hayır
21,7842,301,25844,Hayır
34,18896,506,4747,Hayır
33,9271,617,10890,Hayır
32,16184,408,7469,Hayır
52,12544,602,18631,Hayır
69,10173,447,25866,Hayır
22,16224,824,10761,Hayır
22,8088,454,20764,Hayır
37,14638,405,9038,Hayır
32,2802,714,4220,Hayır
35,14738,833,7777,Hayır
64,7388,331,41894,Hayır
19,18205,619,47621,Hayır
46,2901,321,21036,Hayır
30,8876,789,47450,Hayır
21,12504,346,47649,Hayır
59,3699,300,38317,Hayır
62,13342,763,4920,Hayır
27,7749,470,27532,Hayır
48,4993,642,166,Evet
58,12734,337,40977,Hayır
25,3594,724,49044,Hayır
20,17238,783,32542,Hayır
65,15051,697,6911,Hayır
63,9908,534,35676,Hayır
26,4902,662,24988,Hayır
47,16666,814,28169,Hayır
28,17799,599,10083,Hayır
52,9405,435,48066,Hayır
54,9047,748,17045,Hayır
59,6521,384,893,Hayır
30,12534,617,7681,Hayır
53,6928,375,39959,Hayır
30,18883,385,29457,Hayır
29,11036,511,26804,Hayır
54,13855,488,38974,Hayır
27,18045,807,44899,Hayır
26,11252,562,48243,Hayır
69,11612,640,7133,Hayır
24,15878,615,15844,Hayır
19,12139,321,49974,Hayır
40,6590,704,14209,Hayır
56,5474,808,23971,Hayır
57,19610,312,3045,Hayır
56,4973,536,25870,Hayır
38,7045,772,41267,Hayır
40,19422,343,13428,Hayır
46,15341,580,44448,Hayır
31,17388,651,5570,Hayır
43,16495,354,33386,Hayır
68,17005,840,17063,Hayır
22,10611,379,5242,Hayır
48,16335,628,30436,Hayır
42,5302,808,9230,Hayır
48,2795,645,14966,Hayır
67,7437,802,7256,Hayır
37,18850,698,49854,Hayır
61,14727,623,4262,Hayır
34,17415,343,14759,Hayır
62,18656,849,41502,Hayır
19,12941,411,18320,Hayır
42,17218,567,13401,Hayır
30,5489,615,34679,Hayır
56,18352,513,37797,Hayır
45,5651,806,45487,Hayır
59,19339,649,1246,Evet
23,7386,314,27948,Hayır
20,3919,751,18446,Hayır
52,10379,389,40262,Hayır
35,15786,470,32531,Hayır
28,2207,574,37193,Hayır
37,2073,646,46340,Hayır
22,17009,419,27373,Hayır
36,9561,465,25551,Hayır
39,12811,581,8116,Hayır
36,11241,514,26732,Hayır
64,6969,661,8879,Hayır
33,9704,797,11038,Hayır
41,7889,616,30446,Hayır
58,10019,801,21482,Hayır
21,10706,504,10050,Hayır
32,7919,659,5802,Hayır
42,13520,787,28588,Hayır
61,2279,739,24448,Hayır
52,9461,584,19865,Hayır
31,2290,314,47002,Hayır
66,6880,640,13054,Hayır
36,13065,441,540,Hayır
55,17402,774,38061,Hayır
53,9968,583,3295,Hayır
24,15029,335,11633,Hayır
47,5275,693,31102,Hayır
36,12203,481,49755,Hayır
66,7257,692,27673,Hayır
42,5995,519,42581,Hayır
33,7806,681,3927,Hayır
64,15231,747,2668,Hayır
57,5692,382,8601,Hayır
68,3757,356,1990,Hayır
25,9414,478,172,Hayır
35,9204,618,14887,Hayır
45,13849,616,34902,Hayır
33,14402,622,27969,Hayır
69,13344,327,629,Hayır
36,2725,313,28170,Hayır
59,3107,545,24262,Hayır
34,13017,833,29365,Hayır
62,16837,522,3006,Hayır
30,2824,556,10880,Hayır
24,6602,521,37402,Hayır
44,16467,353,31804,Hayır
27,11926,411,36986,Hayır
51,18734,774,42946,Hayır
53,13477,384,3940,Hayır
42,9894,367,23386,Hayır
23,14013,426,45287,Hayır
41,13863,493,1165,Hayır
35,6991,400,10865,Hayır
40,4509,370,35364,Hayır
23,4672,365,15784,Hayır
46,6158,503,8853,Hayır
42,9807,430,23453,Hayır
34,14288,300,6271,Hayır
63,7797,334,28985,Hayır
41,2297,798,4875,Hayır
28,18143,435,7905,Hayır
43,8080,560,38841,Hayır
68,9746,611,26979,Hayır
51,12493,586,14331,Hayır
45,5938,389,5359,Hayır
20,3594,556,7953,Hayır
28,18334,696,14268,Hayır
55,13557,843,19132,Hayır
31,5215,752,37400,Hayır
68,13489,606,25540,Hayır
43,11673,391,45530,Hayır
65,6379,690,17316,Hayır
38,13866,679,16459,Hayır
56,17845,357,37141,Hayır
47,5182,760,8394,Hayır
25,17745,587,14601,Hayır
68,9571,793,27772,Hayır
37,16300,317,49061,Hayır
65,11965,473,6993,Hayır
49,19735,819,34040,Hayır
39,7613,520,5875,Hayır
24,14471,581,8811,Hayır
26,18595,829,36662,Hayır
62,3274,730,25594,Hayır
18,18098,789,28810,Hayır
46,6262,741,41999,Hayır
25,9775,643,10392,Hayır
21,15941,577,14646,Hayır
52,13655,779,39874,Hayır
20,4485,398,14529,Hayır
62,14692,708,25498,Hayır
57,6370,727,15533,Hayır
24,6887,456,7306,Hayır
44,2332,818,32453,Hayır
18,11218,683,6082,Hayır
44,19919,580,33963,Hayır
33,9647,819,9669,Hayır
55,7282,686,8526,Hayır
24,9744,586,47715,Hayır
61,7697,755,26356,Hayır
40,2952,367,34576,Hayır
58,5369,434,23005,Hayır
28,13545,441,18471,Hayır
59,12178,717,33354,Hayır
50,8553,496,45805,Hayır
67,18548,823,18740,Hayır
53,12183,336,30023,Hayır
54,11931,582,18128,Hayır
58,2103,384,33856,Hayır
34,9297,676,49019,Hayır
52,6691,845,17318,Hayır
65,8402,316,5405,Hayır
22,19511,570,49363,Hayır
65,18747,837,36118,Hayır
49,11761,398,8953,Hayır
20,10061,439,8436,Hayır
69,2368,807,37355,Hayır
64,7053,321,16414,Hayır
52,7304,527,5828,Hayır
69,16865,512,42163,Hayır
31,17776,652,3461,Evet
65,2594,373,41262,Hayır
48,19829,690,48227,Hayır
48,2765,550,22544,Hayır
34,8436,839,10286,Hayır
41,8840,765,18550,Hayır
69,11872,605,12334,Hayır
40,6850,664,16090,Hayır
35,17212,763,25673,Hayır
67,16996,565,28187,Hayır
31,18892,787,7592,Hayır
67,19119,812,8247,Hayır
32,8353,372,17146,Hayır
32,4751,511,22854,Hayır
23,15611,464,16519,Hayır
44,12363,742,14115,Hayır
32,10483,695,17312,Hayır
67,12110,823,6464,Hayır
53,19195,503,38430,Hayır
25,12201,739,41419,Hayır
32,18240,611,14004,Hayır
20,2649,806,9047,Hayır
64,4597,406,38381,Hayır
30,2560,844,1202,Hayır
58,16407,489,21642,Hayır
51,10961,773,22434,Hayır
41,2503,813,20323,Hayır
57,16996,351,24243,Hayır
49,13576,650,26563,Hayır
49,14448,679,37798,Hayır
47,16096,392,38723,Hayır
69,4174,758,31670,Hayır
66,5527,792,32446,Hayır
30,15993,431,5748,Hayır
18,7423,307,3,Hayır
51,12478,655,5806,Hayır
32,16307,630,4155,Evet
61,17928,695,43447,Hayır
31,15500,517,20872,Hayır
46,18278,646,17007,Hayır
51,10825,806,4971,Hayır
35,7152,658,11341,Hayır
24,18884,632,34499,Hayır
46,16647,380,39075,Hayır
48,3563,363,39126,Hayır
42,19558,839,38163,Hayır
55,18903,754,31409,Hayır
31,12109,803,18049,Hayır
25,3328,782,49743,Hayır
44,16134,776,27603,Hayır
19,11124,602,26476,Hayır
34,9659,503,21221,Hayır
54,18791,347,14425,Hayır
31,19915,763,42325,Hayır
42,19007,587,47856,Hayır
47,17464,305,31630,Hayır
46,4766,643,11908,Hayır
37,6415,651,8749,Hayır
38,2666,701,10052,Hayır
39,10819,483,8569,Hayır
52,13300,757,47597,Hayır
54,5276,820,38950,Hayır
33,7605,542,10807,Hayır
67,3133,326,41735,Hayır
66,19893,480,24072,Hayır
60,13581,303,44015,Hayır
34,6705,757,21887,Hayır
33,6574,324,16599,Hayır
19,18294,761,48079,Hayır
21,9556,501,2492,Hayır
38,6683,476,9255,Hayır
56,4411,336,23955,Hayır
51,2308,382,31563,Hayır
47,9230,476,2611,Hayır
23,8176,511,6966,Hayır
34,3832,509,18942,Hayır
56,14973,395,27467,Hayır
42,12499,438,42906,Hayır
22,8879,543,48417,Hayır
22,18094,520,30105,Hayır
37,4000,787,26166,Hayır
33,10858,594,21352,Hayır
68,3684,684,38629,Hayır
58,17584,435,47390,Hayır
54,7617,375,3036,Hayır
57,8782,425,6591,Hayır
26,5076,647,7214,Hayır
22,7116,766,29311,Hayır
59,10637,776,24012,Hayır
19,6383,405,42687,Hayır
26,15081,681,13852,Hayır
60,5751,525,47590,Hayır
53,15852,702,7048,Hayır
39,15062,387,12602,Hayır
39,9785,525,22749,Hayır
39,14564,621,27143,Hayır
51,3545,408,6602,Hayır
46,13837,680,18993,Hayır
55,6831,500,18312,Hayır
63,13399,674,15194,Hayır
50,16492,370,8716,Hayır
35,19396,688,42280,Hayır
24,9954,595,493,Evet
18,9534,459,47509,Hayır
50,4668,659,36234,Hayır
18,14282,821,46738,Hayır
41,5241,745,22743,Hayır
21,2877,467,25845,Hayır
21,19582,644,35891,Hayır
35,17433,785,25328,Hayır
44,2453,478,33116,Hayır
60,13777,438,33176,Hayır
49,8345,505,11548,Hayır
50,9204,766,45629,Hayır
45,14378,332,32135,Hayır
59,14946,429,14764,Hayır
58,11103,381,29193,Hayır
53,16588,409,38458,Hayır
23,12963,309,7703,Hayır
33,2440,698,49295,Hayır
51,2995,838,41450,Hayır
40,4111,769,27210,Hayır
67,6100,714,24881,Hayır
59,13921,427,27890,Hayır
41,8215,781,11805,Hayır
66,5468,753,30849,Hayır
30,14904,568,13729,Hayır
35,8473,723,1642,Evet
30,17907,826,20366,Hayır
66,14031,742,38660,Hayır
54,18099,522,15266,Hayır
60,6460,725,8362,Hayır
56,14794,665,17402,Hayır
59,10714,398,34170,Hayır
34,3759,609,3421,Hayır
32,2249,819,48596,Hayır
35,6344,396,11655,Hayır
40,15580,790,16134,Hayır
68,17189,696,35322,Hayır
47,8591,469,4683,Hayır
51,12322,458,48944,Hayır
21,9708,312,34365,Hayır
20,13670,419,31378,Hayır
24,8482,605,5286,Hayır
35,14185,626,18560,Hayır
59,10450,705,29277,Hayır
24,11339,781,32620,Hayır
57,2904,436,246,Hayır
23,17821,782,6295,Evet
39,7143,814,32680,Hayır
18,6147,320,20471,Hayır
21,17046,548,26474,Hayır
63,4347,652,19803,Hayır
66,16680,565,21514,Hayır
69,19975,701,7911,Hayır
67,16771,787,35076,Hayır
60,16720,556,18921,Hayır
46,2750,849,5751,Hayır
38,15683,342,42734,Hayır
43,10430,350,4827,Hayır
31,8535,392,5753,Hayır
26,8156,304,18289,Hayır
64,6636,341,46006,Hayır
29,17025,557,25787,Hayır
59,11508,743,8283,Hayır
68,2107,697,21382,Hayır
68,3604,334,25904,Hayır
23,9921,679,3880,Hayır
37,4921,828,36515,Hayır
41,3740,686,41301,Hayır
44,17095,372,33582,Hayır
55,4818,619,1481,Hayır
25,19737,631,38055,Hayır
18,8140,306,6039,Hayır
66,12638,776,48570,Hayır
66,8017,617,46756,Hayır
41,8993,317,29911,Hayır
64,19126,310,44533,Hayır
24,17899,446,27104,Hayır
36,9005,786,9484,Hayır
39,9628,817,41444,Hayır
52,19644,464,19014,Hayır
47,14468,420,24467,Hayır
46,16851,364,21785,Hayır
39,15199,607,13417,Hayır
28,16439,529,37335,Hayır
37,4334,340,36185,Hayır
46,8230,329,36919,Hayır
68,17432,387,12383,Hayır
58,2602,585,38439,Hayır
59,17669,425,48951,Hayır
51,17034,571,7911,Hayır
18,18826,350,46706,Hayır
48,9841,308,6972,Hayır
47,12824,670,32400,Hayır
65,7856,512,36409,Hayır
35,14159,389,959,Hayır
34,4301,801,26679,Hayır
55,16073,653,15970,Hayır
31,5566,525,5350,Hayır
40,17558,349,31657,Hayır
42,16060,600,38062,Hayır
32,9120,378,45459,Hayır
63,8540,473,3434,Hayır
39,7545,746,16837,Hayır
20,10054,840,4747,Hayır
36,10787,359,5478,Hayır
61,5462,368,32383,Hayır
51,17856,635,40592,Hayır
52,14381,640,6976,Hayır
67,11859,669,37574,Hayır
18,19489,832,10994,Hayır
69,14627,775,26938,Hayır
38,4855,525,4937,Hayır
46,8503,691,11991,Hayır
23,16324,665,40409,Hayır
54,6398,650,47490,Hayır
18,16129,448,24161,Hayır
68,16230,486,35195,Hayır
18,8024,424,15190,Hayır
44,10892,640,46306,Hayır
38,5791,520,24974,Hayır
33,6756,453,38976,Hayır
61,11992,824,5045,Hayır
57,15592,813,46143,Hayır
43,3136,540,46387,Hayır
33,2622,460,10952,Hayır
45,9245,747,815,Evet
18,17295,330,2800,Hayır
53,6968,481,5906,Hayır
27,7423,442,3674,Hayır
60,3415,639,38455,Hayır
34,8797,479,8154,Hayır
40,6262,626,48743,Hayır
24,3688,399,24154,Hayır
61,6158,470,38101,Hayır
24,10394,504,41549,Hayır
61,17910,816,45461,Hayır
32,3124,433,11481,Hayır
51,15452,816,15349,Hayır
63,8490,728,28651,Hayır
62,10978,538,38082,Hayır
21,11167,689,29441,Hayır
31,6929,774,14565,Hayır
31,6288,827,2978,Hayır
33,12391,459,30807,Hayır
24,9915,580,49795,Hayır
49,14673,382,8797,Hayır
36,16263,777,48075,Hayır
19,6075,846,6238,Hayır
27,15389,414,48698,Hayır
67,14459,326,34271,Hayır
34,5667,765,25840,Hayır
54,13131,312,31533,Hayır
29,15742,714,11678,Hayır
23,10796,750,42816,Hayır
39,2665,330,1252,Hayır
49,3232,515,3540,Hayır
58,13979,489,19628,Hayır
37,10543,592,15402,Hayır
18,11953,652,41926,Hayır
64,9424,442,31119,Hayır
23,8362,361,46673,Hayır
36,17839,505,45396,Hayır
35,6538,603,29511,Hayır
23,15962,423,40228,Hayır
62,8644,826,40468,Hayır
50,6350,803,16841,Hayır
40,2069,837,45303,Hayır
40,9169,588,47651,Hayır
43,6084,368,30775,Hayır
30,15068,327,6690,Hayır
24,15138,426,43946,Hayır
32,10320,796,22521,Hayır
61,3506,846,27868,Hayır
44,14280,725,9329,Hayır
43,3648,715,39040,Hayır
50,16111,473,42542,Hayır
32,5167,579,9102,Hayır
53,3479,393,35788,Hayır
62,7523,628,15112,Hayır
44,2007,449,9187,Hayır
22,18603,514,45576,Hayır
19,10916,776,20358,Hayır
50,15989,420,10832,Hayır
33,8917,651,21161,Hayır
40,4049,407,43716,Hayır
55,5785,501,24837,Hayır
33,9657,667,43674,Hayır
31,10962,689,7973,Hayır
46,19123,462,1863,Hayır
43,12209,669,18048,Hayır
52,15642,589,33805,Hayır
32,18893,558,42104,Hayır
20,3014,472,1714,Hayır
40,19306,403,40561,Hayır
46,11983,682,13421,Hayır
51,7427,688,19003,Hayır
50,10212,411,2321,Hayır
58,19448,828,7514,Hayır
58,15809,687,34635,Hayır
40,5543,307,1957,Hayır
24,19350,340,18815,Hayır
20,15619,810,13731,Hayır
49,5574,321,5887,Hayır
48,2040,357,49031,Hayır
35,8981,458,12134,Hayır
60,18646,730,15558,Hayır
24,15605,402,39170,Hayır
58,10145,470,44317,Hayır
18,11224,672,10023,Hayır
31,3819,652,12327,Hayır
69,17358,772,38442,Hayır
49,18511,549,38235,Hayır
23,14812,394,40298,Hayır
56,18376,349,5202,Hayır
27,18138,665,9362,Hayır
24,11085,316,17860,Hayır
43,4806,414,21784,Hayır
51,4279,603,43760,Hayır
47,7687,705,3856,Hayır
53,14375,619,7806,Hayır
38,12440,713,4545,Evet
34,17747,825,25483,Hayır
50,12600,570,10421,Hayır
27,18363,598,32124,Hayır
68,4179,612,38146,Hayır
64,10368,702,17260,Hayır
59,5123,736,7523,Hayır
68,7665,595,319,Hayır
29,10213,394,2140,Hayır
33,19036,528,12122,Hayır
58,5390,663,46900,Hayır
49,10359,321,34553,Hayır
32,11064,521,47950,Hayır
44,3781,539,48139,Hayır
45,9083,499,41838,Hayır
34,19985,842,45806,Hayır
63,3863,571,47939,Hayır
67,2721,353,9231,Hayır
19,9242,707,2660,Evet
53,13528,832,40932,Hayır
67,9853,627,36154,Hayır
24,18626,849,45585,Hayır
30,8905,625,43718,Hayır
32,6638,441,6402,Hayır
42,6372,761,28324,Hayır
40,19837,562,37928,Hayır
39,6171,559,19553,Hayır
43,16373,676,30199,Hayır
50,14605,702,41597,Hayır
28,17687,470,27156,Hayır
27,5501,649,18950,Hayır
42,3186,826,21891,Hayır
54,3381,782,39446,Hayır
65,16250,322,41501,Hayır
60,14616,809,4917,Hayır
55,17773,770,18456,Hayır
58,13858,617,2314,Evet
62,14225,400,46403,Hayır
41,13719,597,46597,Hayır
57,3752,649,11167,Hayır
63,3954,426,21115,Hayır
50,2537,646,18691,Hayır
34,17745,693,29832,Hayır
41,11382,447,2858,Hayır
54,5936,362,12607,Hayır
19,19879,767,23579,Hayır
49,8216,442,49328,Hayır
41,5370,570,47998,Hayır
26,3259,700,15278,Hayır
21,7826,767,40735,Hayır
34,5030,553,39799,Hayır
34,6695,604,23973,Hayır
67,2096,828,36779,Hayır
65,14765,800,42549,Hayır
47,15309,822,19920,Hayır
57,6043,521,31606,Hayır
28,15586,420,40849,Hayır
38,7139,644,6086,Hayır
38,18968,728,40298,Hayır
35,16762,737,25786,Hayır
46,19337,362,43465,Hayır
41,4897,837,47988,Hayır
27,9528,544,31155,Hayır
62,4030,358,9178,Hayır
34,17669,598,5567,Hayır
35,18977,419,10216,Hayır
59,3831,438,43048,Hayır
65,16362,730,14981,Hayır
37,11868,521,2240,Evet
54,8599,718,6688,Hayır
62,2111,690,41393,Hayır
35,6470,396,27601,Hayır
34,15626,838,10665,Hayır
26,4173,392,33854,Hayır
31,5078,394,14159,Hayır
66,3383,474,9426,Hayır
46,8721,525,19035,Hayır
48,5970,848,12160,Hayır
21,18745,320,32997,Hayır
35,7078,645,36503,Hayır
37,4811,534,26462,Hayır
64,16324,368,49454,Hayır
60,16006,396,47774,Hayır
61,15941,618,7546,Hayır
26,16731,813,23114,Hayır
30,15624,642,8485,Hayır
32,2905,427,20803,Hayır
44,2491,478,12696,Hayır
32,15715,701,37567,Hayır
45,16712,718,9897,Hayır
54,10732,693,28845,Hayır
36,4886,533,48656,Hayır
43,14607,336,19162,Hayır
69,16560,770,42056,Hayır
43,18839,828,29646,Hayır
42,2650,665,35896,Hayır
43,19688,847,5649,Evet
43,15795,454,36796,Hayır
63,10995,347,14206,Hayır
45,5384,466,11058,Hayır
66,6704,721,17782,Hayır
35,13032,751,22093,Hayır
49,13254,768,46620,Hayır
20,18102,685,32129,Hayır
19,11505,388,37895,Hayır
50,4053,721,504,Evet
59,2309,633,26710,Hayır
36,17191,440,12571,Hayır
34,7121,471,21217,Hayır
61,8897,830,17590,Hayır
50,17605,359,14487,Hayır
29,11806,845,1415,Evet
66,11014,756,10176,Hayır
20,11519,528,20559,Hayır
60,18441,586,15255,Hayır
66,3248,651,21308,Hayır
43,18901,469,30283,Hayır
52,8384,578,1899,Hayır
25,18130,651,46910,Hayır
69,5673,811,27518,Hayır
53,7149,545,29107,Hayır
24,8608,642,1580,Evet
63,12476,549,1145,Hayır
63,19778,396,7479,Hayır
53,11364,682,16206,Hayır
33,10791,809,10403,Hayır
41,19880,788,15193,Hayır
18,8706,558,19237,Hayır
66,16871,300,39753,Hayır
42,13309,518,46487,Hayır
27,8771,733,19092,Hayır
33,18238,838,49862,Hayır
33,4658,599,32940,Hayır
25,13891,641,21870,Hayır
46,4323,393,30893,Hayır
56,4895,509,13237,Hayır
45,3531,343,31008,Hayır
23,13358,771,2452,Evet
33,17505,651,35732,Hayır
37,14954,513,38193,Hayır
33,2781,496,24200,Hayır
24,3425,624,40699,Hayır
58,6928,466,40051,Hayır
31,4551,705,9265,Hayır
60,12515,690,12315,Hayır
43,14613,552,41711,Hayır
43,2556,656,44614,Hayır
31,10704,685,24440,Hayır
24,13410,614,28822,Hayır
50,8438,488,17020,Hayır
43,7786,544,36120,Hayır
62,6151,444,17934,Hayır
37,15199,831,16986,Hayır
20,8093,632,39673,Hayır
69,17585,423,38289,Hayır
21,7016,357,12104,Hayır
43,8509,371,29823,Hayır
28,14288,747,33624,Hayır
19,4960,680,45390,Hayır
31,10916,455,14971,Hayır
61,19690,477,20942,Hayır
47,19143,781,40079,Hayır
66,16202,569,36581,Hayır
29,18610,840,41111,Hayır
43,10499,409,42788,Hayır
61,12036,615,17997,Hayır
50,7208,456,43504,Hayır
30,9442,356,36830,Hayır
31,12860,545,18206,Hayır
41,9045,512,19561,Hayır
51,18247,412,22955,Hayır
61,9624,621,38293,Hayır
43,15184,350,33964,Hayır
38,18969,821,36436,Hayır
45,19762,350,17184,Hayır
65,14549,542,8416,Hayır
53,14982,651,20412,Hayır
57,8929,792,34909,Hayır
19,8420,356,29327,Hayır
59,14002,735,46218,Hayır
26,6031,535,33080,Hayır
40,9442,612,47523,Hayır
32,8360,311,49396,Hayır
30,19425,760,23790,Hayır
40,6839,772,35876,Hayır
34,13677,749,35545,Hayır
65,9351,724,29092,Hayır
19,18626,808,4363,Evet
37,7545,650,11565,Hayır
37,4100,701,33323,Hayır
63,11441,761,10819,Hayır
20,3737,601,22779,Hayır
29,12110,310,39638,Hayır
57,19776,658,18163,Hayır
19,10439,541,40484,Hayır
53,14300,344,25110,Hayır
31,15650,329,30431,Hayır
33,9784,661,31850,Hayır
36,11539,839,41490,Hayır
